Poem_Index,Title,Author,URL,Content,A,B,C
134,琵琶行,白居易 〔唐代〕,https://www.gushiwen.cn/shiwenv_0581b0ba8bb4.aspx,"元和十年，予左迁九江郡司马。明年秋，送客湓浦口，闻舟中夜弹琵琶者，听其音，铮铮然有京都声。问其人，本长安倡女，尝学琵琶于穆、曹二善才，年长色衰，委身为贾人妇。遂命酒，使快弹数曲。曲罢悯然，自叙少小时欢乐事，今漂沦憔悴，转徙于江湖间。予出官二年，恬然自安，感斯人言，是夕始觉有迁谪意。因为长句，歌以赠之，凡六百一十六言，命曰《琵琶行》。
浔阳江头夜送客，枫叶荻花秋瑟瑟。
主人下马客在船，举酒欲饮无管弦。
醉不成欢惨将别，别时茫茫江浸月。
忽闻水上琵琶声，主人忘归客不发。
寻声暗问弹者谁，琵琶声停欲语迟。
移船相近邀相见，添酒回灯重开宴。
千呼万唤始出来，犹抱琵琶半遮面。
转轴拨弦三两声，未成曲调先有情。
弦弦掩抑声声思，似诉平生不得志。
低眉信手续续弹，说尽心中无限事。
轻拢慢捻抹复挑，初为《霓裳》后《六幺》。(六幺 一作：绿腰)
大弦嘈嘈如急雨，小弦切切如私语。
嘈嘈切切错杂弹，大珠小珠落玉盘。
间关莺语花底滑，幽咽泉流冰下难。
冰泉冷涩弦凝绝，凝绝不通声暂歇。(暂歇 一作：渐歇)
别有幽愁暗恨生，此时无声胜有声。
银瓶乍破水浆迸，铁骑突出刀枪鸣。
曲终收拨当心画，四弦一声如裂帛。
东船西舫悄无言，唯见江心秋月白。
沉吟放拨插弦中，整顿衣裳起敛容。
自言本是京城女，家在虾蟆陵下住。
十三学得琵琶成，名属教坊第一部。
曲罢曾教善才服，妆成每被秋娘妒。(服 一作：伏)
五陵年少争缠头，一曲红绡不知数。
钿头银篦击节碎，血色罗裙翻酒污。(银篦 一作：云篦)
今年欢笑复明年，秋月春风等闲度。
弟走从军阿姨死，暮去朝来颜色故。
门前冷落鞍马稀，老大嫁作商人妇。
商人重利轻别离，前月浮梁买茶去。
去来江口守空船，绕船月明江水寒。
夜深忽梦少年事，梦啼妆泪红阑干。
我闻琵琶已叹息，又闻此语重唧唧。
同是天涯沦落人，相逢何必曾相识！
我从去年辞帝京，谪居卧病浔阳城。
浔阳地僻无音乐，终岁不闻丝竹声。
住近湓江地低湿，黄芦苦竹绕宅生。
其间旦暮闻何物？杜鹃啼血猿哀鸣。
春江花朝秋月夜，往往取酒还独倾。
岂无山歌与村笛，呕哑嘲哳难为听。
今夜闻君琵琶语，如听仙乐耳暂明。
莫辞更坐弹一曲，为君翻作《琵琶行》。
感我此言良久立，却坐促弦弦转急。
凄凄不似向前声，满座重闻皆掩泣。
座中泣下谁最多？江州司马青衫湿。",长恨歌,兵车行,石鼓歌
135,琴歌,李颀 〔唐代〕,https://www.gushiwen.cn/shiwenv_6bc4a8ba12e4.aspx,"主人有酒欢今夕，请奏鸣琴广陵客。
月照城头乌半飞，霜凄万树风入衣。(万树 一作：万木)
铜炉华烛烛增辉，初弹渌水后楚妃。
一声已动物皆静，四座无言星欲稀。
清淮奉使千余里，敢告云山从此始。",琵琶行,长恨歌,石鼓歌
136,玉阶怨,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_f1ad949fed22.aspx,"玉阶生白露，夜久侵罗袜。
却下水晶帘，玲珑望秋月。(水晶 一作：水精)",早秋三首·其一,怨情,玉台体
137,玉台体,权德舆 〔唐代〕,https://www.gushiwen.cn/shiwenv_26e5d8ef07d7.aspx,"昨夜裙带解，今朝蟢子飞。
铅华不可弃，莫是藁砧归。",送魏万之京,玉阶怨,章台夜思
138,独不见,沈佺期 〔唐代〕,https://www.gushiwen.cn/shiwenv_f46d7bbf66b8.aspx,"卢家少妇郁金堂，海燕双栖玳瑁梁。
九月寒砧催木叶，十年征戍忆辽阳。
白狼河北音书断，丹凤城南秋夜长。
谁为含愁独不见，更教明月照流黄。",宿府,喜见外弟又言别,寻隐者不遇
139,燕歌行·并序,高适 〔唐代〕,https://www.gushiwen.cn/shiwenv_4c7868ec4409.aspx,"开元二十六年，客有从元戎出塞而还者，作《燕歌行》以示，适感征戍之事，因而和焉。
汉家烟尘在东北，汉将辞家破残贼。
男儿本自重横行，天子非常赐颜色。
摐金伐鼓下榆关，旌旆逶迤碣石间。
校尉羽书飞瀚海，单于猎火照狼山。
山川萧条极边土，胡骑凭陵杂风雨。
战士军前半死生，美人帐下犹歌舞。
大漠穷秋塞草腓，孤城落日斗兵稀。
身当恩遇常轻敌，力尽关山未解围。(常轻敌 一作：恒轻敌)
铁衣远戍辛勤久，玉箸应啼别离后。
少妇城南欲断肠，征人蓟北空回首。
边庭飘飖那可度，绝域苍茫无所有。(飘飖 一作：飘摇；无所 一作：更何)
杀气三时作阵云，寒声一夜传刁斗。
相看白刃血纷纷，死节从来岂顾勋！(血 一作：雪)
君不见沙场征战苦，至今犹忆李将军。",长恨歌,长干行·其一,白雪歌送武判官归京
140,烈女操,孟郊 〔唐代〕,https://www.gushiwen.cn/shiwenv_5a67990459e3.aspx,"梧桐相待老，鸳鸯会双死。
贞女贵殉夫，舍生亦如此。
波澜誓不起，妾心古井水。(古井水 一作：井中水)",登金陵凤凰台,贫女,送杨氏女
141,灞上秋居,马戴 〔唐代〕,https://www.gushiwen.cn/shiwenv_5d0d8b3c1111.aspx,"灞原风雨定，晚见雁行频。
落叶他乡树，寒灯独夜人。
空园白露滴，孤壁野僧邻。
寄卧郊扉久，何年致此身。",喜外弟卢纶见宿,山居秋暝,溪居
142,滁州西涧,韦应物 〔唐代〕,https://www.gushiwen.cn/shiwenv_f6bd6356c843.aspx,"独怜幽草涧边生，上有黄鹂深树鸣。
春潮带雨晚来急，野渡无人舟自横。",长恨歌,西施咏,利州南渡
143,溪居,柳宗元 〔唐代〕,https://www.gushiwen.cn/shiwenv_324652b6ac3d.aspx,"久为簪组累，幸此南夷谪。(累 一作：束)
闲依农圃邻，偶似山林客。
晓耕翻露草，夜榜响溪石。
来往不逢人，长歌楚天碧。",寄全椒山中道士,桃花溪,寻南溪常山道人隐居
144,游子吟,孟郊 〔唐代〕,https://www.gushiwen.cn/shiwenv_161d06b0b556.aspx,"慈母手中线，游子身上衣。
临行密密缝，意恐迟迟归。
谁言寸草心，报得三春晖。",长恨歌,梦游天姥吟留别,落花
145,渭川田家,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_8813f91342c8.aspx,"斜阳照墟落，穷巷牛羊归。(斜阳 一作：斜光)
野老念牧童，倚杖候荆扉。
雉雊麦苗秀，蚕眠桑叶稀。
田夫荷锄至，相见语依依。(至 一作：立)
即此羡闲逸，怅然吟式微。",送灵澈上人,积雨辋川庄作,下终南山过斛斯山人宿置酒
146,渡荆门送别,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_d50eb19399e6.aspx,"渡远荆门外，来从楚国游。
山随平野尽，江入大荒流。
月下飞天镜，云生结海楼。
仍怜故乡水，万里送行舟。",次北固山下,送僧归日本,送陈章甫
147,渡汉江,宋之问 〔唐代〕,https://www.gushiwen.cn/shiwenv_4f7e2f94ec4a.aspx,"岭外音书断，经冬复历春。
近乡情更怯，不敢问来人。",金谷园,江雪,哀江头
148,渔翁,柳宗元 〔唐代〕,https://www.gushiwen.cn/shiwenv_3aba195e605d.aspx,"渔翁夜傍西岩宿，晓汲清湘燃楚竹。
烟销日出不见人，欸乃一声山水绿。
回看天际下中流，岩上无心云相逐。",终南山,长恨歌,桃源行
149,清明日宴梅道士房,孟浩然 〔唐代〕,https://www.gushiwen.cn/shiwenv_4041576ad0f3.aspx,"林卧愁春尽，搴帷览物华。
忽逢青鸟使，邀入赤松家。
金灶初开火，仙桃正发花。
童颜若可驻，何惜醉流霞。",长恨歌,寄全椒山中道士,桃源行
150,清平调·其二,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_4b5845ac138d.aspx,"一枝秾艳露凝香，云雨巫山枉断肠。(秾艳 一作：红艳)
借问汉宫谁得似，可怜飞燕倚新妆。",遣怀,长相思·其二,行路难·其二
151,清平调·其三,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_29165f23cefd.aspx,"名花倾国两相欢，长得君王带笑看。(长得 一作：常得)
解释春风无限恨，沉香亭北倚阑干。",长恨歌,行路难·其三,赠阙下裴舍人
152,清平调·其一,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_170df91879a2.aspx,"云想衣裳花想容，春风拂槛露华浓。
若非群玉山头见，会向瑶台月下逢。",阙题,长干行·其一,集灵台·其一
153,淮上喜会梁州故人,韦应物 〔唐代〕,https://www.gushiwen.cn/shiwenv_43e1c0daacca.aspx,"江汉曾为客，相逢每醉还。
浮云一别后，流水十年间。
欢笑情如旧，萧疏鬓已斑。
何因不归去？淮上有秋山。",琵琶行,喜见外弟又言别,赠卫八处士
154,洛阳女儿行,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_e3bfcb5ede2b.aspx,"洛阳女儿对门居，才可颜容十五余。
良人玉勒乘骢马，侍女金盘脍鲤鱼。
画阁朱楼尽相望，红桃绿柳垂檐向。
罗帷送上七香车，宝扇迎归九华帐。
狂夫富贵在青春，意气骄奢剧季伦。
自怜碧玉亲教舞，不惜珊瑚持与人。
春窗曙灭九微火，九微片片飞花琐。
戏罢曾无理曲时，妆成祗是熏香坐。
城中相识尽繁华，日夜经过赵李家。
谁怜越女颜如玉，贫贱江头自浣纱。",长恨歌,琵琶行,哀王孙
155,泊秦淮,杜牧 〔唐代〕,https://www.gushiwen.cn/shiwenv_8e8011f614fb.aspx,"烟笼寒水月笼沙，夜泊秦淮近酒家。
商女不知亡国恨，隔江犹唱后庭花。",春泛若耶溪,枫桥夜泊,夜泊牛渚怀古
156,没蕃故人,张籍 〔唐代〕,https://www.gushiwen.cn/shiwenv_67a8c97e4204.aspx,"前年戍月支，城下没全师。(戍 一作：伐；城下 一作：城上)
蕃汉断消息，死生长别离。
无人收废帐，归马识残旗。
欲祭疑君在，天涯哭此时。",燕歌行·并序,客夜与故人偶集,兵车行
157,江雪,柳宗元 〔唐代〕,https://www.gushiwen.cn/shiwenv_58313be2d918.aspx,"千山鸟飞绝，万径人踪灭。
孤舟蓑笠翁，独钓寒江雪。",自夏口至鹦鹉洲夕望岳阳寄源中丞,哀江头,渡汉江
158,江州重别薛六柳八二员外,刘长卿 〔唐代〕,https://www.gushiwen.cn/shiwenv_dea6fe3c2c99.aspx,"生涯岂料承优诏，世事空知学醉歌。
江上月明胡雁过，淮南木落楚山多。
寄身且喜沧洲近，顾影无如白发何。
今日龙钟人共弃，愧君犹遣慎风波。(弃 一作：老)",长恨歌,秋夜寄邱员外,秋登兰山寄张五
159,江南逢李龟年,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_514b8bc0ee4f.aspx,"岐王宅里寻常见，崔九堂前几度闻。
正是江南好风景，落花时节又逢君。",汉江临泛,江南曲,新年作
160,江南曲,李益 〔唐代〕,https://www.gushiwen.cn/shiwenv_01536e4b8dfb.aspx,"嫁得瞿塘贾，朝朝误妾期。
早知潮有信，嫁与弄潮儿。",为有,江南逢李龟年,秋夜曲
161,汉江临泛,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_d0c23694485b.aspx,"楚塞三湘接，荆门九派通。
江流天地外，山色有无中。
郡邑浮前浦，波澜动远空。
襄阳好风日，留醉与山翁。",登金陵凤凰台,哀江头,江雪
162,次北固山下,王湾 〔唐代〕,https://www.gushiwen.cn/shiwenv_720b46d38537.aspx,"客路青山外，行舟绿水前。
潮平两岸阔，风正一帆悬。
海日生残夜，江春入旧年。
乡书何处达？归雁洛阳边。",渡荆门送别,晚次鄂州,兵车行
163,楚江怀古三首·其一,马戴 〔唐代〕,https://www.gushiwen.cn/shiwenv_2a4d274daaf8.aspx,"露气寒光集，微阳下楚丘。
猿啼洞庭树，人在木兰舟。
广泽生明月，苍山夹乱流。
云中君不见，竟夕自悲秋。",山居秋暝,早秋三首·其一,桃源行
164,梦游天姥吟留别,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_05e2f6fc757c.aspx,"海客谈瀛洲，烟涛微茫信难求；
越人语天姥，云霞明灭或可睹。
天姥连天向天横，势拔五岳掩赤城。
天台四万八千丈，对此欲倒东南倾。(四万 一作：一万)
我欲因之梦吴越，一夜飞度镜湖月。
湖月照我影，送我至剡溪。
谢公宿处今尚在，渌水荡漾清猿啼。
脚著谢公屐，身登青云梯。
半壁见海日，空中闻天鸡。
千岩万转路不定，迷花倚石忽已暝。
熊咆龙吟殷岩泉，栗深林兮惊层巅。
云青青兮欲雨，水澹澹兮生烟。
列缺霹雳，丘峦崩摧。
洞天石扉，訇然中开。
青冥浩荡不见底，日月照耀金银台。
霓为衣兮风为马，云之君兮纷纷而来下。
虎鼓瑟兮鸾回车，仙之人兮列如麻。
忽魂悸以魄动，恍惊起而长嗟。
惟觉时之枕席，失向来之烟霞。
世间行乐亦如此，古来万事东流水。
别君去兮何时还？且放白鹿青崖间，须行即骑访名山。
安能摧眉折腰事权贵，使我不得开心颜？",长恨歌,梦李白二首·其一,寄韩谏议注
165,梦李白二首·其二,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_12c487f7a589.aspx,"浮云终日行，游子久不至。
三夜频梦君，情亲见君意。
告归常局促，苦道来不易。
江湖多风波，舟楫恐失坠。
出门搔白首，若负平生志。
冠盖满京华，斯人独憔悴。
孰云网恢恢，将老身反累。
千秋万岁名，寂寞身后事。",长恨歌,遣悲怀三首·其二,蜀道难
166,梦李白二首·其一,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_46c874845670.aspx,"死别已吞声，生别常恻恻。
江南瘴疠地，逐客无消息。
故人入我梦，明我长相忆。
恐非平生魂，路远不可测。
魂来枫林青，魂返关塞黑。
君今在罗网，何以有羽翼？
落月满屋梁，犹疑照颜色。
水深波浪阔，无使蛟龙得。",长恨歌,长相思·其一,梦游天姥吟留别
167,桃花溪,张旭 〔唐代〕,https://www.gushiwen.cn/shiwenv_7415a0681d7c.aspx,"隐隐飞桥隔野烟，石矶西畔问渔船。
桃花尽日随流水，洞在清溪何处边。",寄扬州韩绰判官,桃源行,阙题
168,桃源行,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_231daf6badef.aspx,"渔舟逐水爱山春，两岸桃花夹古津。
坐看红树不知远，行尽青溪不见人。(不见 一作：忽值)
山口潜行始隈隩，山开旷望旋平陆。
遥看一处攒云树，近入千家散花竹。
樵客初传汉姓名，居人未改秦衣服。
居人共住武陵源，还从物外起田园。
月明松下房栊静，日出云中鸡犬喧。
惊闻俗客争来集，竞引还家问都邑。
平明闾巷扫花开，薄暮渔樵乘水入。
初因避地去人间，及至成仙遂不还。
峡里谁知有人事，世中遥望空云山。
不疑灵境难闻见，尘心未尽思乡县。
出洞无论隔山水，辞家终拟长游衍。
自谓经过旧不迷，安知峰壑今来变。
当时只记入山深，青溪几度到云林。
春来遍是桃花水，不辨仙源何处寻。",长恨歌,琵琶行,寄韩谏议注
169,枫桥夜泊,张继 〔唐代〕,https://www.gushiwen.cn/shiwenv_6fb73f607ad3.aspx,"月落乌啼霜满天，江枫渔火对愁眠。
姑苏城外寒山寺，夜半钟声到客船。",旅宿,夜泊牛渚怀古,泊秦淮
170,李端公,卢纶 〔唐代〕,https://www.gushiwen.cn/shiwenv_fdae6ac54db6.aspx,"故关衰草遍，离别自堪悲。(自堪悲 一作：正堪悲)
路出寒云外，人归暮雪时。
少孤为客早，多难识君迟。
掩泪空相向，风尘何处期。(掩泪 一作：掩泣)",在狱咏蝉,寄李儋元锡,送綦毋潜落第还乡
171,杂诗三首·其二,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_8d889937d1fe.aspx,"君自故乡来，应知故乡事。
来日绮窗前，寒梅著花未？",静夜思,孤雁二首·其二,渡荆门送别
172,杂诗三首·其三,沈佺期 〔唐代〕,https://www.gushiwen.cn/shiwenv_06ffa37f5123.aspx,"闻道黄龙戍，频年不解兵。
可怜闺里月，长在汉家营。
少妇今春意，良人昨夜情。
谁能将旗鼓，一为取龙城。",长恨歌,子夜吴歌·秋歌,哀王孙
173,杂诗·近寒食雨草萋萋,佚名 〔唐代〕,https://www.gushiwen.cn/shiwenv_4508caf3b53b.aspx,"近寒食雨草萋萋，著麦苗风柳映堤。
等是有家归未得，杜鹃休向耳边啼。(等 一作：早)",寒食,杂诗三首·其二,杂诗三首·其三
174,望蓟门,祖咏 〔唐代〕,https://www.gushiwen.cn/shiwenv_0e1671eb861a.aspx,"燕台一望客心惊，笳鼓喧喧汉将营。(一望 一作：一去；笳鼓 一作：箫鼓)
万里寒光生积雪，三边曙色动危旌。
沙场烽火连胡月，海畔云山拥蓟城。(连胡月 一作：侵胡月)
少小虽非投笔吏，论功还欲请长缨。",燕歌行·并序,秋登兰山寄张五,夜上受降城闻笛
175,望洞庭湖赠张丞相,孟浩然 〔唐代〕,https://www.gushiwen.cn/shiwenv_ae20659aff8c.aspx,"八月湖水平，涵虚混太清。
气蒸云梦泽，波撼岳阳城。
欲济无舟楫，端居耻圣明。
坐观垂钓者，徒有羡鱼情。",长恨歌,八月十五夜赠张功曹,石鱼湖上醉歌
176,望月有感,白居易 〔唐代〕,https://www.gushiwen.cn/shiwenv_5dfc1bd59fed.aspx,"自河南经乱，关内阻饥，兄弟离散，各在一处。因望月有感，聊书所怀，寄上浮梁大兄、於潜七兄、乌江十五兄，兼示符离及下邽弟妹。
时难年荒世业空，弟兄羁旅各西东。
田园寥落干戈后，骨肉流离道路中。
吊影分为千里雁，辞根散作九秋蓬。
共看明月应垂泪，一夜乡心五处同。",长恨歌,望月怀远,观公孙大娘弟子舞剑器行
177,望月怀远,张九龄 〔唐代〕,https://www.gushiwen.cn/shiwenv_7cc200edc65e.aspx,"海上生明月，天涯共此时。
情人怨遥夜，竟夕起相思。
灭烛怜光满，披衣觉露滋。
不堪盈手赠，还寝梦佳期。",长恨歌,楚江怀古三首·其一,章台夜思
178,望岳,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_efec283b31e0.aspx,"岱宗夫如何？齐鲁青未了。
造化钟神秀，阴阳割昏晓。
荡胸生曾云，决眦入归鸟。( 曾 同：层)
会当凌绝顶，一览众山小。",终南山,野望,春望
179,月夜忆舍弟,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_ad6f7cfa10c2.aspx,"戍鼓断人行，边秋一雁声。(边秋 一作:秋边)
露从今夜白，月是故乡明。
有弟皆分散，无家问死生。
寄书长不达，况乃未休兵。",长恨歌,九月九日忆山东兄弟,长干行·其一
180,月夜·更深月色半人家,刘方平 〔唐代〕,https://www.gushiwen.cn/shiwenv_cb396f21ec13.aspx,"更深月色半人家，北斗阑干南斗斜。
今夜偏知春气暖，虫声新透绿窗纱。",寄人,月夜·今夜鄜州月,月夜忆舍弟
181,月夜·今夜鄜州月,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_1e8a3b873f28.aspx,"今夜鄜州月，闺中只独看。
遥怜小儿女，未解忆长安。
香雾云鬟湿，清辉玉臂寒。
何时倚虚幌，双照泪痕干。",长恨歌,月夜·更深月色半人家,月夜忆舍弟
182,月下独酌·其一,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_3185407c5519.aspx,"花间一壶酒，独酌无相亲。
举杯邀明月，对影成三人。
月既不解饮，影徒随我身。
暂伴月将影，行乐须及春。
我歌月徘徊，我舞影零乱。
醒时同交欢，醉后各分散。(同交欢 一作：相交欢)
永结无情游，相期邈云汉。",长恨歌,长干行·其一,八月十五夜赠张功曹
183,晨诣超师院读禅经,柳宗元 〔唐代〕,https://www.gushiwen.cn/shiwenv_8483f12e6ef6.aspx,"汲井漱寒齿，清心拂尘服。
闲持贝叶书，步出东斋读。
真源了无取，妄迹世所逐。
遗言冀可冥，缮性何由熟。
道人庭宇静，苔色连深竹。
日出雾露馀，青松如膏沐。
澹然离言说，悟悦心自足。",送杨氏女,题破山寺后禅院,行经华山
184,晚次鄂州,卢纶 〔唐代〕,https://www.gushiwen.cn/shiwenv_b108020809b7.aspx,"云开远见汉阳城，犹是孤帆一日程。
估客昼眠知浪静，舟人夜语觉潮生。
三湘衰鬓逢秋色，万里归心对月明。
旧业已随征战尽，更堪江上鼓鼙声。",长恨歌,送李中丞之襄州,送僧归日本
185,春雨,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_9ae72ef063c3.aspx,"怅卧新春白袷衣，白门寥落意多违。
红楼隔雨相望冷，珠箔飘灯独自归。
远路应悲春晼晚，残宵犹得梦依稀。
玉珰缄札何由达，万里云罗一雁飞。",长恨歌,春晓,春望
186,春泛若耶溪,綦毋潜 〔唐代〕,https://www.gushiwen.cn/shiwenv_99260121fb8c.aspx,"幽意无断绝，此去随所偶。
晚风吹行舟，花路入溪口。
际夜转西壑，隔山望南斗。
潭烟飞溶溶，林月低向后。
生事且弥漫，愿为持竿叟。",长恨歌,溪居,青溪
187,春望,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_89d3a63c6d7f.aspx,"国破山河在，城春草木深。
感时花溅泪，恨别鸟惊心。
烽火连三月，家书抵万金。
白头搔更短，浑欲不胜簪。",长恨歌,野望,琵琶行
188,春晓,孟浩然 〔唐代〕,https://www.gushiwen.cn/shiwenv_ccee5691ba93.aspx,"春眠不觉晓，处处闻啼鸟。
夜来风雨声，花落知多少。",金谷园,春雨,春望
189,春怨·纱窗日落渐黄昏,刘方平 〔唐代〕,https://www.gushiwen.cn/shiwenv_8ab3c688ad04.aspx,"纱窗日落渐黄昏，金屋无人见泪痕。
寂寞空庭春欲晚，梨花满地不开门。",长恨歌,春怨·打起黄莺儿,春宫怨
190,春怨·打起黄莺儿,金昌绪 〔唐代〕,https://www.gushiwen.cn/shiwenv_11889cf7beab.aspx,"打起黄莺儿，莫教枝上啼。
啼时惊妾梦，不得到辽西。",长恨歌,春怨·纱窗日落渐黄昏,春思·莺啼燕语报新年
191,春思·莺啼燕语报新年,皇甫冉 〔唐代〕,https://www.gushiwen.cn/shiwenv_703276b8042c.aspx,"莺啼燕语报新年，马邑龙堆路几千。
家住层城临汉苑，心随明月到胡天。(层城 一作：秦城)
机中锦字论长恨，楼上花枝笑独眠。
为问元戎窦车骑，何时返旆勒燕然。",长恨歌,春思·燕草如碧丝,哀江头
192,春思·燕草如碧丝,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_727c47ecf120.aspx,"燕草如碧丝，秦桑低绿枝。
当君怀归日，是妾断肠时。
春风不相识，何事入罗帏。",长相思·其二,春思·莺啼燕语报新年,燕歌行·并序
193,春宿左省,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_2d9e4af24a52.aspx,"花隐掖垣暮，啾啾栖鸟过。
星临万户动，月傍九霄多。
不寝听金钥，因风想玉珂。
明朝有封事，数问夜如何。",长恨歌,寄左省杜拾遗,宿府
194,春宫曲,王昌龄 〔唐代〕,https://www.gushiwen.cn/shiwenv_ac8928c6f24a.aspx,"昨夜风开露井桃，未央前殿月轮高。
平阳歌舞新承宠，帘外春寒赐锦袍。",长恨歌,后宫词,秋夜曲
195,春宫怨,杜荀鹤 〔唐代〕,https://www.gushiwen.cn/shiwenv_c68b17ec4941.aspx,"早被婵娟误，欲妆临镜慵。
承恩不在貌，教妾若为容。
风暖鸟声碎，日高花影重。
年年越溪女，相忆采芙蓉。",长恨歌,闺怨,怨情
196,早秋三首·其一,许浑 〔唐代〕,https://www.gushiwen.cn/shiwenv_a0d7b609d5a0.aspx,"遥夜泛清瑟，西风生翠萝。
残萤委玉露，早雁拂金河。(委 一作：栖)
高树晓还密，远山晴更多。
淮南一叶下，自觉洞庭波。(洞庭波 一作：老烟波)",长恨歌,楚江怀古三首·其一,玉阶怨
197,早寒江上有怀,孟浩然 〔唐代〕,https://www.gushiwen.cn/shiwenv_219b75964f74.aspx,"木落雁南度，北风江上寒。
我家襄水曲，遥隔楚云端。
乡泪客中尽，孤帆天际看。(孤帆 一作：归帆)
迷津欲有问，平海夕漫漫。",送綦毋潜落第还乡,楚江怀古三首·其一,终南望余雪
198,早发白帝城,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_0f81015a040c.aspx,"朝辞白帝彩云间，千里江陵一日还。
两岸猿声啼不住，轻舟已过万重山。",登鹳雀楼,天末怀李白,初发扬子寄元大校书
199,无题二首·其一,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_05c6c4ccf634.aspx,"昨夜星辰昨夜风，画楼西畔桂堂东。
身无彩凤双飞翼，心有灵犀一点通。
隔座送钩春酒暖，分曹射覆蜡灯红。
嗟余听鼓应官去，走马兰台类转蓬。",近试上张水部,感遇十二首·其一,梦李白二首·其一
200,无题·飒飒东风细雨来,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_ebdbde03b7f9.aspx,"飒飒东风细雨来，芙蓉塘外有轻雷。
金蟾啮锁烧香入，玉虎牵丝汲井回。
贾氏窥帘韩掾少，宓妃留枕魏王才。
春心莫共花争发，一寸相思一寸灰！",长恨歌,无题·来是空言去绝踪,无题·相见时难别亦难
201,无题·重帏深下莫愁堂,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_cad3c6bebe91.aspx,"重帏深下莫愁堂，卧后清宵细细长。
神女生涯原是梦，小姑居处本无郎。
风波不信菱枝弱，月露谁教桂叶香。
直道相思了无益，未妨惆怅是清狂。",长恨歌,无题·凤尾香罗薄几重,无题·飒飒东风细雨来
202,无题·相见时难别亦难,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_1a4c484f9364.aspx,"相见时难别亦难，东风无力百花残。
春蚕到死丝方尽，蜡炬成灰泪始干。
晓镜但愁云鬓改，夜吟应觉月光寒。
蓬山此去无多路，青鸟殷勤为探看。(蓬山 一作：蓬莱)",长恨歌,无题·来是空言去绝踪,宣州谢朓楼饯别校书叔云
203,无题·来是空言去绝踪,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_f3143cabad12.aspx,"来是空言去绝踪，月斜楼上五更钟。
梦为远别啼难唤，书被催成墨未浓。
蜡照半笼金翡翠，麝熏微度绣芙蓉。
刘郎已恨蓬山远，更隔蓬山一万重！",无题·相见时难别亦难,无题·飒飒东风细雨来,无题二首·其一
204,无题·凤尾香罗薄几重,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_2d27cb0ecae4.aspx,"凤尾香罗薄几重，碧文圆顶夜深缝。
扇裁月魄羞难掩，车走雷声语未通。
曾是寂寥金烬暗，断无消息石榴红。
斑骓只系垂杨岸，何处西南任好风。(任 一作：待)",后宫词,无题·重帏深下莫愁堂,无题二首·其一
205,旅宿,杜牧 〔唐代〕,https://www.gushiwen.cn/shiwenv_0cf45663f32a.aspx,"旅馆无良伴，凝情自悄然。
寒灯思旧事，断雁警愁眠。
远梦归侵晓，家书到隔年。
沧江好烟月，门系钓鱼船。",锦瑟,宿府,旅夜书怀
206,旅夜书怀,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_30bf1f03b349.aspx,"细草微风岸，危樯独夜舟。
星垂平野阔，月涌大江流。
名岂文章著，官应老病休。
飘飘何所似，天地一沙鸥。",无题·凤尾香罗薄几重,巴山道中除夜书怀,旅宿
207,新年作,刘长卿 〔唐代〕,https://www.gushiwen.cn/shiwenv_0938dbd3a92b.aspx,"乡心新岁切，天畔独潸然。
老至居人下，春归在客先。
岭猿同旦暮，江柳共风烟。
已似长沙傅，从今又几年。",琵琶行,新嫁娘词,桃源行
208,新嫁娘词,王建 〔唐代〕,https://www.gushiwen.cn/shiwenv_5917bc6dca91.aspx,"三日入厨下，洗手作羹汤。
未谙姑食性，先遣小姑尝。",无题·重帏深下莫愁堂,新年作,后宫词
